时间,项目名称,累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2021-07,售电量,39128.00,17.10,28,2021-07-31 00:00:00,1,0,2024-07-20 16:08:25,0,2024-07-20 16:08:25,,,
2021-06,售电量,32661.00,17.90,29,2021-06-30 00:00:00,1,0,2024-07-20 16:08:25,0,2024-07-20 16:08:25,,,
2021-05,售电量,26857.00,19.70,30,2021-05-31 00:00:00,1,0,2024-07-20 16:08:25,0,2024-07-20 16:08:25,,,
2021-04,售电量,21242.00,20.50,31,2021-04-30 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2021-03,售电量,15875.00,22.50,32,2021-03-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2021-02,售电量,10644.00,22.20,33,2021-02-28 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2020-11,售电量,55395.00,2.50,34,2020-11-30 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2020-10,售电量,50199.00,1.90,35,2020-10-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2020-09,售电量,45047.00,1.10,36,2020-09-30 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2020-08,售电量,39273.00,0.70,37,2020-08-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2020-07,售电量,33140.00,-0.50,38,2020-07-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2020-06,售电量,27458.00,-2.10,39,2020-06-30 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2020-05,售电量,22237.00,-4.20,40,2020-05-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2020-04,售电量,17462.00,-6.10,41,2020-04-30 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2020-03,售电量,12842.00,-7.60,42,2020-03-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2020-02,售电量,8625.00,-9.80,43,2020-02-29 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2019-11,售电量,54049.00,5.90,44,2019-11-30 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2019-10,售电量,49257.00,5.90,45,2019-10-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2019-09,售电量,44546.00,6.20,46,2019-09-30 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2019-08,售电量,38991.00,6.20,47,2019-08-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2019-07,售电量,33300.00,6.80,48,2019-07-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2019-06,售电量,28051.00,7.10,49,2019-06-30 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2019-05,售电量,23216.00,7.60,50,2019-05-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2019-04,售电量,18591.00,8.00,51,2019-04-30 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2019-03,售电量,13906.00,7.80,52,2019-03-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2019-02,售电量,9557.00,6.10,53,2019-02-28 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2018-11,售电量,51045.00,9.80,54,2018-11-30 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2018-10,售电量,46493.00,10.10,55,2018-10-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2018-09,售电量,41933.00,10.50,56,2018-09-30 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2018-08,售电量,36705.00,10.50,57,2018-08-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2018-07,售电量,31194.00,10.60,58,2018-07-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2018-06,售电量,26189.00,11.00,59,2018-06-30 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2018-05,售电量,21577.00,11.10,60,2018-05-31 00:00:00,1,0,2024-07-20 16:08:29,0,2024-07-20 16:08:29,,,
2018-04,售电量,17211.00,11.10,61,2018-04-30 00:00:00,1,0,2024-07-20 16:08:33,0,2024-07-20 16:08:33,,,
2018-03,售电量,12901.00,12.30,62,2018-03-31 00:00:00,1,0,2024-07-20 16:08:33,0,2024-07-20 16:08:33,,,
2018-02,售电量,9005.00,17.10,63,2018-02-28 00:00:00,1,0,2024-07-20 16:08:33,0,2024-07-20 16:08:33,,,
2017-11,售电量,46507.00,7.50,64,2017-11-30 00:00:00,1,0,2024-07-20 16:08:33,0,2024-07-20 16:08:33,,,
2017-10,售电量,42221.00,7.60,65,2017-10-31 00:00:00,1,0,2024-07-20 16:08:33,0,2024-07-20 16:08:33,,,
2017-09,售电量,37933.00,7.40,66,2017-09-30 00:00:00,1,0,2024-07-20 16:08:33,0,2024-07-20 16:08:33,,,
2017-08,售电量,33229.00,7.30,67,2017-08-31 00:00:00,1,0,2024-07-20 16:08:33,0,2024-07-20 16:08:33,,,
2017-07,售电量,28196.00,7.40,68,2017-07-31 00:00:00,1,0,2024-07-20 16:08:33,0,2024-07-20 16:08:33,,,
2017-06,售电量,23595.00,6.90,69,2017-06-30 00:00:00,1,0,2024-07-20 16:08:33,0,2024-07-20 16:08:33,,,
2017-05,售电量,19426.00,6.90,70,2017-05-31 00:00:00,1,0,2024-07-20 16:08:33,0,2024-07-20 16:08:33,,,
2017-04,售电量,15498.00,7.00,71,2017-04-30 00:00:00,1,0,2024-07-20 16:08:33,0,2024-07-20 16:08:33,,,
2017-03,售电量,11490.00,6.90,72,2017-03-31 00:00:00,1,0,2024-07-20 16:08:33,0,2024-07-20 16:08:33,,,
2017-02,售电量,7690.00,5.70,73,2017-02-28 00:00:00,1,0,2024-07-20 16:08:33,0,2024-07-20 16:08:33,,,
2025-06,售电量,38708.24,1.49,144,2025-06-30 00:00:00,1,0,2025-08-20 23:17:05,0,2025-08-20 23:17:05,,,
